sampling_period,patch,date,time,treatment,divers,observer,transect,heading,quadrat,shoot_count,distance_patch,above_ground,below_ground,shoot_bag_num,percent_total_n,percent_total_c,total_grunt_nh4_rate_ug,total_grunt_nh4_rate,mean_sand_depth,sd_sand_depth,original_cuke_density,final_cuke_density,true_seagrass_area,total_reef_area,log_original_cuke_density,log_final_cuke_density,lat,lon,total_cuke_excretion_initial,total_cuke_excretion_final,patch_size,grunt_pee_m2,cuke_pee_final_m2,log_grunt_pee_m2,log_cuke_pee_m2,scale_log_og_cukes,scale_log_cukes_final,scale_log_grunt_pee_m2,scale_log_cuke_pee_m2,scale_distance,scale_sand,scale_seagrass_area,scale_reef_area,scale_patch_size,cont_treatment,scale_cont_treatment,mean_blade_height,sd_blade_height,n_blade_height,se_blade_height
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,2,0,1,100,0.5,0.461,0.957,T2Q1,0.01856,0.37465000000000004,1893.169847285691,135.1298963087574,9.5,1.9148542155126762,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,24.820924,-76.263468,84,0,30.259333555346597,11.633159951330903,0,2.474895509406321,-2.4064789070070094,0.8517520853745256,-1.194509809478628,-0.5245228244321093,-1.2069602261090813,-0.7958872845107056,-1.022394145103004,-0.787832562226356,-0.31512115631777593,-0.610921429968791,-1,-1.2236643728386054,11.96,3.0344686520048283,5,1.35705563629499
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",HW,2,0,2,135,1.2,0.443,0.939,M1,0.01831,0.37091,1893.169847285691,135.1298963087574,7.75,0.9574271077563381,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,24.820924,-76.263468,84,0,30.259333555346597,11.633159951330903,0,2.474895509406321,-2.4064789070070094,0.8517520853745256,-1.194509809478628,-0.5245228244321093,-1.2069602261090813,-0.3512881807495528,-1.2712110184766539,-0.787832562226356,-0.31512115631777593,-0.610921429968791,-1,-1.2236643728386054,7.7,1.2308533625091174,5,0.5504543577809154
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,2,0,3,31,2.7,0.107,1.119,T2Q3,0.01766,0.37122999999999995,1893.169847285691,135.1298963087574,5.75,1.707825127659933,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,24.820924,-76.263468,84,0,30.259333555346597,11.633159951330903,0,2.474895509406321,-2.4064789070070094,0.8517520853745256,-1.194509809478628,-0.5245228244321093,-1.2069602261090813,0.6014241844529175,-1.5555731594751108,-0.787832562226356,-0.31512115631777593,-0.610921429968791,-1,-1.2236643728386054,6.26,2.1267345861672537,5,0.9511046209539726
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",HW,3,180,1,140,0.3,0.434,1.716,T3Q1,0.01856,0.37465000000000004,1893.169847285691,135.1298963087574,9.5,1.9148542155126762,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,24.820924,-76.263468,84,0,30.259333555346597,11.633159951330903,0,2.474895509406321,-2.4064789070070094,0.8517520853745256,-1.194509809478628,-0.5245228244321093,-1.2069602261090813,-0.9229155998710349,-1.022394145103004,-0.787832562226356,-0.31512115631777593,-0.610921429968791,-1,-1.2236643728386054,7.56,0.9396807968666806,5,0.4202380277890138
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,3,180,2,235,2,0.632,3.098,T3Q2,0.01831,0.37091,1893.169847285691,135.1298963087574,7.75,0.9574271077563381,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,24.820924,-76.263468,84,0,30.259333555346597,11.633159951330903,0,2.474895509406321,-2.4064789070070094,0.8517520853745256,-1.194509809478628,-0.5245228244321093,-1.2069602261090813,0.15682508069176462,-1.2712110184766539,-0.787832562226356,-0.31512115631777593,-0.610921429968791,-1,-1.2236643728386054,5.62,0.7918333157931662,5,0.35411862419251544
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,3,180,3,59,3.6,0.217,1.289,T3Q3,0.01766,0.37122999999999995,1893.169847285691,135.1298963087574,5.75,1.707825127659933,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,24.820924,-76.263468,84,0,30.259333555346597,11.633159951330903,0,2.474895509406321,-2.4064789070070094,0.8517520853745256,-1.194509809478628,-0.5245228244321093,-1.2069602261090813,1.1730516035743994,-1.5555731594751108,-0.787832562226356,-0.31512115631777593,-0.610921429968791,-1,-1.2236643728386054,7.7,1.547578754054216,5,0.692098258919931
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",RM,1,90,1,147,0.1,0.688,5.083,T1Q1,0.01727,0.37052999999999997,234536.91761005856,16740.67934404415,15,6.377042156569663,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,-1.049943915231364,-0.24039825735724782,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,8.86,0.8734987120768982,5,0.39064049969249215
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",HW,1,90,2,175,0.9,0.578,2.634,T1Q2,0.01812,0.37056,234536.91761005856,16740.67934404415,11.75,0.8660254037844386,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,-0.5418306537900468,-0.7024867364797401,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,8.58,2.8455227990652263,5,1.272556482047064
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",RM,1,90,3,94,2.4,0.215,3.352,T1Q3,0.01694,0.36703,234536.91761005856,16740.67934404415,11,1.632993161855452,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,0.41088171141242325,-0.8091225393541615,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,6.18,0.8983317872590284,5,0.4017461885320134
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",HW,2,0,1,277,0,1.153,2.89,T2Q1,0.01727,0.37052999999999997,234536.91761005856,16740.67934404415,15,6.377042156569663,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,-1.1134580729115289,-0.24039825735724782,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,10.74,1.0807404868885035,5,0.4833218389437828
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",RM,2,0,2,198,0.6,0.68,4.669,T2Q2,0.01812,0.37056,234536.91761005856,16740.67934404415,11.75,0.8660254037844386,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,-0.7323731268305409,-0.7024867364797401,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,6.98,1.194571052721436,5,0.5342284155677232
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",RM,2,0,3,91,2.5,0.289,2.12,T2Q3,0.01694,0.36703,234536.91761005856,16740.67934404415,11,1.632993161855452,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,0.474395869092588,-0.8091225393541615,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,6.9799999999999995,0.7293833011524188,5,0.32619012860600183
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",RM,3,180,1,319,0,1.355,3.76,T3Q1,0.01727,0.37052999999999997,234536.91761005856,16740.67934404415,15,6.377042156569663,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,-1.1134580729115289,-0.24039825735724782,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,8.2,0.5244044240850758,5,0.2345207879911715
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",HW,3,180,2,188,0.6,0.582,6.988,T3Q2,0.01812,0.37056,234536.91761005856,16740.67934404415,11.75,0.8660254037844386,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,-0.7323731268305409,-0.7024867364797401,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,8.86,0.8203657720797474,5,0.3668787265568828
0,Damsel,2019-05-24,12:00:00,natural,"RM, HW",RM,3,180,3,212,2.3,1.042,4.449,T3Q3,0.01694,0.36703,234536.91761005856,16740.67934404415,11,1.632993161855452,0.5397539099875087,0.5397539099875087,22.232354000506845,33.22996056815683,-0.616641965542113,-0.6028222976556399,24.820622,-76.255838,151.2,151.2,55.46231456866367,752.9872609829126,6.800899265842609,6.624376688829932,1.9302207640760178,0.7499591320630683,1.2598985416171145,1.522733324907658,1.2574740075796962,0.3473675537322585,-0.8091225393541615,-0.5147959153304006,0.02543415484401576,-0.2620219145639818,0,1.2236643728386054,9.26,1.6318700928689147,5,0.7297944916207576
0,E2,2019-05-24,15:30:00,zero,"RM, HW",RM,1,90,1,198,0.1,0.477,1.836,B,0.01799,0.37126,274368.8611853845,19583.787379399324,17.25,7.5,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,-1.049943915231364,0.07950915126601613,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,9.4,1.4679918255903197,5,0.656505902486794
0,E2,2019-05-24,15:30:00,zero,"RM, HW",HW,1,90,2,221,1.3,0.972,1.583,A,0.01661,0.37587000000000004,274368.8611853845,19583.787379399324,16.375,1.9311050377094112,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,-0.2877740230693881,-0.04489928542080873,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,7.78,0.794984276574072,5,0.3555277766926237
0,E2,2019-05-24,15:30:00,zero,"RM, HW",RM,1,90,3,152,3.4,0.306,4.808,C,0.01758,0.37706,274368.8611853845,19583.787379399324,15,2.160246899469287,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,1.04602328821407,-0.24039825735724782,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,9.08,2.139392437118538,5,0.9567653839891991
0,E2,2019-05-24,15:30:00,zero,"RM, HW",HW,2,0,1,209,0.2,0.922,0.838,2,0.01799,0.37126,274368.8611853845,19583.787379399324,17.25,7.5,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,-0.9864297575511995,0.07950915126601613,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,13.34,1.8609137540466514,5,0.8322259308625273
0,E2,2019-05-24,15:30:00,zero,"RM, HW",RM,2,0,2,219,2.4,0.418,5.781,D,0.01661,0.37587000000000004,274368.8611853845,19583.787379399324,16.375,1.9311050377094112,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,0.41088171141242325,-0.04489928542080873,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,11.6,1.914418971907665,5,0.8561541917201598
0,E2,2019-05-24,15:30:00,zero,"RM, HW",RM,2,0,3,106,5.9,0.674,1.864,1,0.01758,0.37706,274368.8611853845,19583.787379399324,15,2.160246899469287,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,2.633877230218187,-0.24039825735724782,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,8.62,1.0894952959971882,5,0.48723710860319347
0,E2,2019-05-24,15:30:00,zero,"RM, HW",HW,3,180,1,174,2.3,0.34,2.632,34,0.01799,0.37126,274368.8611853845,19583.787379399324,17.25,7.5,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,0.3473675537322585,0.07950915126601613,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,14.440000000000001,1.2641202474448392,5,0.565331761004103
0,E2,2019-05-24,15:30:00,zero,"RM, HW",RM,3,180,2,162,4.6,0.537,7.535,33,0.01661,0.37587000000000004,274368.8611853845,19583.787379399324,16.375,1.9311050377094112,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,1.808193180376046,-0.04489928542080873,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,8.4,1.6999999999999997,5,0.7602631123499284
0,E2,2019-05-24,15:30:00,zero,"RM, HW",HW,3,180,3,154,6,0.541,3.651,4,0.01758,0.37706,274368.8611853845,19583.787379399324,15,2.160246899469287,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,58.8,0,219.33540594851823,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-2.146700418207503,-1.194509809478628,0.5962240393901429,-1.2069602261090813,2.6973913878983518,-0.24039825735724782,3.295724076594056,0.39220460752513614,2.0065685406725753,-1,-1.2236643728386054,6.64,0.6348228099241554,5,0.2839013913315679
0,E1,2019-05-26,10:00:00,half,"RM, HW",RM,1,90,1,442,0.8,1.385,6.131,T1Q1,0.01944,0.36671,267909.2656700404,19122.717035691676,9,2.160246899469287,0.1086291872645309,0.05013654796824503,119.67317741540998,209.33908291659517,-2.2198151482497193,-2.8534075662463,24.81238897,-76.26444602,174,79.2,329.01226033200516,159.791169990522,0.6618024331808344,5.075414259390576,-0.2851060157623523,-0.7312423820808026,-0.028144449761861024,0.7585117941555953,-0.0014388914262346152,-0.6053448114702115,-1.0934846803526184,1.9912173580339836,4.1370914530157625,3.524888985595452,-0.5,0,8.16,1.2177848742696715,5,0.544609952167604
0,E1,2019-05-26,10:00:00,half,"RM, HW",HW,1,90,2,167,2.1,1.175,1.963,T1Q2,0.018680000000000002,0.3674,267909.2656700404,19122.717035691676,14.75,3.4034296427770228,0.1086291872645309,0.05013654796824503,119.67317741540998,209.33908291659517,-2.2198151482497193,-2.8534075662463,24.81238897,-76.26444602,174,79.2,329.01226033200516,159.791169990522,0.6618024331808344,5.075414259390576,-0.2851060157623523,-0.7312423820808026,-0.028144449761861024,0.7585117941555953,-0.0014388914262346152,0.22033923837192934,-0.27594352498205493,1.9912173580339836,4.1370914530157625,3.524888985595452,-0.5,0,7.0200000000000005,1.0084641788382964,5,0.4509988913511871
0,E1,2019-05-26,10:00:00,half,"RM, HW",HW,1,90,3,103,3.7,0.416,0.869,T1Q3,0.01838,0.36618,267909.2656700404,19122.717035691676,10.25,3.304037933599835,0.1086291872645309,0.05013654796824503,119.67317741540998,209.33908291659517,-2.2198151482497193,-2.8534075662463,24.81238897,-76.26444602,174,79.2,329.01226033200516,159.791169990522,0.6618024331808344,5.075414259390576,-0.2851060157623523,-0.7312423820808026,-0.028144449761861024,0.7585117941555953,-0.0014388914262346152,1.2365657612545642,-0.9157583422285828,1.9912173580339836,4.1370914530157625,3.524888985595452,-0.5,0,9.92,0.8467585252006621,5,0.3786819245752298
0,E1,2019-05-26,10:00:00,half,"RM, HW",RM,2,0,1,254,0.1,0.801,4.606,T2Q1,0.01944,0.36671,267909.2656700404,19122.717035691676,9,2.160246899469287,0.1086291872645309,0.05013654796824503,119.67317741540998,209.33908291659517,-2.2198151482497193,-2.8534075662463,24.81238897,-76.26444602,174,79.2,329.01226033200516,159.791169990522,0.6618024331808344,5.075414259390576,-0.2851060157623523,-0.7312423820808026,-0.028144449761861024,0.7585117941555953,-0.0014388914262346152,-1.049943915231364,-1.0934846803526184,1.9912173580339836,4.1370914530157625,3.524888985595452,-0.5,0,10.12,1.3026895255585653,5,0.5825804665451804
0,E1,2019-05-26,10:00:00,half,"RM, HW",HW,2,0,2,225,2.8,0.665,3.982,T2Q2,0.018680000000000002,0.3674,267909.2656700404,19122.717035691676,14.75,3.4034296427770228,0.1086291872645309,0.05013654796824503,119.67317741540998,209.33908291659517,-2.2198151482497193,-2.8534075662463,24.81238897,-76.26444602,174,79.2,329.01226033200516,159.791169990522,0.6618024331808344,5.075414259390576,-0.2851060157623523,-0.7312423820808026,-0.028144449761861024,0.7585117941555953,-0.0014388914262346152,0.6649383421330819,-0.27594352498205493,1.9912173580339836,4.1370914530157625,3.524888985595452,-0.5,0,7.52,1.5482247898803323,5,0.6923871749245503
